Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_260.jpg;0;0;1;0;99.66999;85.58897;0.0002424166;57.24754;-1.954374E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_297.jpg;0;0;0;0;99.66999;85.58897;0.0002422118;57.24754;-2.014555E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_346.jpg;0;0;0;0;99.66999;85.58897;0.0002422419;57.24754;-2.116945E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_396.jpg;0;0;0;0;99.66999;85.58897;0.0002419799;57.24754;-2.360801E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_446.jpg;0;0;0;0;99.66999;85.58897;0.0002418052;57.24754;-2.523372E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_496.jpg;0;0;0;0;99.66999;85.58897;0.0002415432;57.24754;-2.767228E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_546.jpg;0;0;0;0;99.66999;85.58897;0.0002413685;57.24754;-2.929799E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_596.jpg;0;0;0;0;99.66999;85.58897;0.0002411064;57.24754;-3.173655E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_646.jpg;0;0;0;0;99.66999;85.58897;0.0002407269;57.24754;-3.396407E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_696.jpg;0;0;0;0;99.66999;85.58897;0.0002401126;57.24754;-3.576942E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_746.jpg;0;0;0;0;99.66999;85.58897;0.000239703;57.24754;-3.697297E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_797.jpg;0;0;0;0;99.66999;85.58897;0.0002390887;57.24754;-3.87784E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_846.jpg;0;0;0;0;99.66999;85.58897;0.0002386791;57.24754;-3.998195E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_897.jpg;0;0;0;0;99.66999;85.58897;0.0002380648;57.24754;-4.178731E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_947.jpg;0;0;0;0;99.66999;85.58897;0.0002376552;57.24754;-4.299092E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_06_997.jpg;0;0;0;0;99.66999;85.58897;0.0002370258;57.24754;-4.42843E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_046.jpg;0;0;0;0;99.66999;85.58897;0.0002365861;57.24754;-4.446395E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_097.jpg;0;0;0;0;99.66999;85.58897;0.0002359267;57.24754;-4.473342E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_147.jpg;0;0;0;0;99.66999;85.58897;0.000235487;57.24754;-4.491314E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_197.jpg;0;0;0;0;99.66999;85.58897;0.0002345324;57.24754;-4.271265E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_247.jpg;0;0;0;0;99.66999;85.58897;0.0002337977;57.24754;-4.042235E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_297.jpg;0;0;0;0;99.66999;85.58897;0.0002331504;57.24754;-3.731918E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_347.jpg;0;0;0;0;99.66999;85.58897;0.0002328854;57.24754;-3.587312E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_397.jpg;0;0;0;0;99.66999;85.58897;0.0002324879;57.24754;-3.370404E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_447.jpg;0;0;0;0;99.66999;85.58897;0.000232223;57.24754;-3.225791E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_497.jpg;0;0;0;0;99.66999;85.58897;0.0002319279;57.24754;-2.978795E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_547.jpg;0;0;0;0;99.66999;85.58897;0.0002318678;57.24754;-2.774015E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_597.jpg;0;0;0;0;99.66999;85.58897;0.0002317774;57.24754;-2.466845E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_647.jpg;0;0;0;0;99.66999;85.58897;0.0002317173;57.24754;-2.262059E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_697.jpg;0;0.1000557;0;0;99.66984;85.58874;359.9942;57.24765;-1.519846E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_747.jpg;0;0;0.2500405;0;99.67087;85.59033;0.03491263;57.24782;-1.959344E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_798.jpg;0;0;0.3998966;0;99.67086;85.59033;0.03163297;57.24782;-7.687298E-07
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_847.jpg;0;0;0.5504129;0;99.67086;85.59032;0.02924065;57.24782;-3.927026E-07
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_897.jpg;0;0;0.7005594;0;99.67087;85.59033;0.02541107;57.24782;3.722754E-07
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_947.jpg;0;0;0.8507273;0;99.67088;85.59034;0.0227379;57.24782;1.086811E-06
/home/josh/Programming/Code/RoboticsND_Main/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_05_30_10_20_07_998.jpg;0;0;1;0;99.67088;85.59035;0.01861772;57.24782;1.661274E-06
